CabinetType,Category,Group,Model,A,B,C,D,E,F
Wall,blind,30-width,WBC3036R,574,608,675,743,878,966
Wall,blind,30-width,WBC3039L,589,624,693,762,901,991
Wall,blind,30-width,WBC3039R,589,624,693,762,901,991
Wall,blind,30-width,WBC3042L,638,675,750,825,975,1073
Wall,blind,30-width,WBC3042R,638,675,750,825,975,1073
Wall,blind,36-width,WBC3630L,581,616,684,752,889,978
Wall,blind,36-width,WBC3630R,581,616,684,752,889,978
Wall,blind,36-width,WBC3633L,599,635,705,776,917,1009
Wall,blind,36-width,WBC3633R,599,635,705,776,917,1009
Wall,blind,36-width,WBC3636L,620,656,729,802,948,1043
Wall,blind,36-width,WBC3636R,620,656,729,802,948,1043
Wall,blind,36-width,WBC3639L,638,675,750,825,975,1073
Wall,blind,36-width,WBC3639R,638,675,750,825,975,1073
Wall,blind,36-width,WBC3642L,692,733,814,895,1058,1164
Wall,blind,36-width,WBC3642R,692,733,814,895,1058,1164
Wall,blind,42-width,WBC4230L,649,687,763,839,992,1091
Wall,blind,42-width,WBC4230R,649,687,763,839,992,1091
Wall,blind,42-width,WBC4233L,669,708,787,866,1023,1126
Wall,blind,42-width,WBC4233R,669,708,787,866,1023,1126
Wall,blind,42-width,WBC4236L,689,729,810,891,1053,1158
Wall,blind,42-width,WBC4236R,689,729,810,891,1053,1158
Wall,blind,42-width,WBC4239L,710,752,835,919,1086,1195
Wall,blind,42-width,WBC4239R,710,752,835,919,1086,1195
Wall,blind,42-width,WBC4242L,755,799,888,977,1154,1270
Wall,blind,42-width,WBC4242R,755,799,888,977,1154,1270
Wall,blind,48-width,WBC4830L,717,758,842,926,1095,1204
Wall,blind,48-width,WBC4830R,717,758,842,926,1095,1204
Wall,blind,48-width,WBC4833L,739,781,869,956,1130,1243
Wall,blind,48-width,WBC4833R,739,781,869,956,1130,1243
Wall,blind,48-width,WBC4836L,758,802,891,980,1158,1274
Wall,blind,48-width,WBC4836R,758,802,891,980,1158,1274
Wall,blind,48-width,WBC4839L,782,829,920,1013,1196,1317
Wall,blind,48-width,WBC4839R,782,829,920,1013,1196,1317
Wall,blind,48-width,WBC4842L,818,865,962,1059,1251,1377
Wall,blind,48-width,WBC4842R,818,865,962,1059,1251,1377
Wall,easy-reach,easy-reach,WER2415,695,736,818,900,1063,1170
Wall,easy-reach,easy-reach,WER2418,717,759,843,927,1096,1205
Wall,easy-reach,easy-reach,WER2430,561,592,1003,1103,1304,1434
Wall,easy-reach,easy-reach,WER2433,873,924,1027,1130,1335,1469
Wall,easy-reach,easy-reach,WER2436,635,673,1050,1155,1365,1502
Wall,easy-reach,easy-reach,WER2439,912,966,1073,1180,1395,1534
Wall,easy-reach,easy-reach,WER2442,761,804,1236,1360,1607,1768
Wall,corner-diagonal,24-diagonal,WDC2415,457,484,538,592,699,770
Wall,corner-diagonal,24-diagonal,WDC2418,477,505,561,617,729,802
Wall,corner-diagonal,24-diagonal,WDC2430,641,672,708,779,920,1013
Wall,corner-diagonal,24-diagonal,WDC2433,621,658,731,804,950,1045
Wall,corner-diagonal,24-diagonal,WDC2436,722,759,754,829,980,1078
Wall,corner-diagonal,24-diagonal,WDC2439,775,816,776,854,1009,1110
Wall,corner-diagonal,24-diagonal,WDC2442,865,909,838,922,1089,1199
Wall,corner-diagonal,24-diagonal,WDC2448,763,808,898,988,1167,1284
Wall,corner-diagonal,27-diagonal,WDC2715,485,514,571,628,742,816
Wall,corner-diagonal,27-diagonal,WDC2718,507,536,596,656,775,853
Wall,corner-diagonal,27-diagonal,WDC2730,655,693,770,847,1001,1101
Wall,corner-diagonal,27-diagonal,WDC2733,676,716,795,875,1034,1138
Wall,corner-diagonal,27-diagonal,WDC2736,698,739,821,903,1067,1174
Wall,corner-diagonal,27-diagonal,WDC2739,719,761,846,931,1100,1210
Wall,corner-diagonal,27-diagonal,WDC2742,786,833,925,1018,1203,1323
Wall,corner-diagonal,27-diagonal,WDC2748,837,887,985,1084,1281,1409
Wall,wine-cubbies,horizontal,WWCH246,249,263,293,322,381,419
Wall,wine-cubbies,horizontal,WWCH306,270,286,318,350,413,455
Wall,wine-cubbies,horizontal,WWCH366,293,311,345,380,449,494
Wall,wine-cubbies,horizontal,WWCH426,318,338,374,413,486,537
Wall,wine-cubbies,vertical,WWC624,249,263,293,322,381,419
Wall,wine-cubbies,vertical,WWC630,270,286,318,350,413,455
Wall,wine-cubbies,vertical,WWC636,293,311,345,380,449,494
Wall,wine-cubbies,vertical,WWC642,318,338,374,413,486,537
Wall,shelf,15-high,WSU3015,317,336,373,410,485,533
Wall,shelf,15-high,WSU3315,329,348,387,426,503,554
Wall,shelf,15-high,WSU3615,341,361,401,441,521,573
Wall,shelf,18-high,WSU3018,330,349,388,427,504,555
Wall,shelf,18-high,WSU3318,343,364,404,444,525,577
Wall,shelf,18-high,WSU3618,356,377,419,461,545,599
Wall,shelf,30-high,WSU1230,315,334,371,408,482,530
Wall,shelf,30-high,WSU1530,337,357,397,437,516,568
Wall,shelf,30-high,WSU1830,360,381,423,465,550,605
Wall,shelf,30-high,WSU2130,382,404,449,494,584,642
Wall,shelf,30-high,WSU2430,404,428,475,523,618,680
Wall,shelf,30-high,WSU2730,426,451,501,551,651,716
Wall,shelf,30-high,WSU3030,448,474,527,580,685,754
Wall,shelf,30-high,WSU3330,471,499,554,609,720,792
Wall,shelf,30-high,WSU3630,492,521,579,637,753,828
Wall,shelf,36-high,WSU1236,347,367,408,449,530,584
Wall,shelf,36-high,WSU1536,373,395,439,483,571,628
Wall,shelf,36-high,WSU1836,400,424,471,518,612,673
Wall,shelf,36-high,WSU2136,427,452,502,552,653,718
Wall,shelf,36-high,WSU2436,454,481,534,587,694,763
Wall,shelf,36-high,WSU2736,480,509,565,622,735,809
Wall,shelf,36-high,WSU3036,507,536,596,656,775,853
Wall,shelf,36-high,WSU3336,534,565,628,691,816,898
Wall,shelf,36-high,WSU3636,561,594,660,726,858,944
Wall,shelf,42-high,WSU1242,366,387,430,473,559,615
Wall,shelf,42-high,WSU1542,394,417,463,509,602,662
Wall,shelf,42-high,WSU1842,422,446,496,546,645,710
Wall,shelf,42-high,WSU2142,450,476,529,582,688,757
Wall,shelf,42-high,WSU2442,478,506,562,618,731,803
Wall,shelf,42-high,WSU2742,506,536,595,655,774,852
Wall,shelf,42-high,WSU3042,535,566,629,692,818,900
Wall,shelf,42-high,WSU3342,563,596,662,728,861,946
Wall,shelf,42-high,WSU3642,591,626,695,765,904,995
